60614939	{'title': '1c:enterprise programming language', 'year': 0, 'paradigm(s)': [], 'typing': [], 'influenced': [], 'influenced by': []}
2994340	{'title': 'a#', 'year': '2004', 'paradigm(s)': [], 'typing': [], 'influenced': [], 'influenced by': []}
60383	{'title': 'a-0 system', 'year': 0, 'paradigm(s)': [], 'typing': [], 'influenced': [], 'influenced by': []}
890931	{'title': 'a+', 'year': '1988', 'paradigm(s)': ['Array'], 'typing': ['dynamic', 'strong'], 'influenced': [890956], 'influenced by': [1451]}
425819	{'title': 'a++', 'year': 0, 'paradigm(s)': [], 'typing': [], 'influenced': [], 'influenced by': []}
271832	{'title': 'abap/4', 'year': '1983', 'paradigm(s)': ['Object-oriented', 'structured', 'imperative'], 'typing': ['static', 'strong', 'safe', 'nominative'], 'influenced': [], 'influenced by': [39809523, 25432026, 6799, 25432026, 29004, 25432026]}
147585	{'title': 'abc', 'year': 0, 'paradigm(s)': ['multi-paradigm', 'imperative', 'procedural', 'structured'], 'typing': ['strong', 'polymorphic'], 'influenced': [23862], 'influenced by': [916963, 692880]}
60450	{'title': 'abc algol', 'year': 0, 'paradigm(s)': [], 'typing': [], 'influenced': [], 'influenced by': []}
928669	{'title': 'acc (programming language)', 'year': 0, 'paradigm(s)': [], 'typing': [], 'influenced': [], 'influenced by': []}
85065	{'title': 'accent (programming language)', 'year': 0, 'paradigm(s)': [], 'typing': [], 'influenced': [], 'influenced by': []}
9216093	{'title': 'distributed application specification language', 'year': 0, 'paradigm(s)': [], 'typing': [], 'influenced': [], 'influenced by': []}
1273369	{'title': 'action!', 'year': 0, 'paradigm(s)': [], 'typing': [], 'influenced': [], 'influenced by': []}
519691	{'title': 'actionscript', 'year': '1998', 'paradigm(s)': ['Multi-paradigm', 'object-oriented', 'prototype-based', 'functional', 'imperative', 'scripting'], 'typing': ['strong', 'static'], 'influenced': [5404706], 'influenced by': [9845, 15881]}
26849115	{'title': 'actor (programming language)', 'year': 0, 'paradigm(s)': [], 'typing': [], 'influenced': [], 'influenced by': []}
1242	{'title': 'ada', 'year': 'February\xa01980', 'paradigm(s)': ['Multi-paradigm'], 'typing': ['static', 'strong', 'safe', 'nominative'], 'influenced': [72038, 6776794, 9838, 15881, 45413679, 36619168, 33862363, 1545014, 25768, 36346048, 36619168, 11665200, 43410], 'influenced by': [692880, 23773, 72038, 28319, 24102707, 15881, 9838]}
11517646	{'title': 'adenine (programming language)', 'year': 0, 'paradigm(s)': [], 'typing': [], 'influenced': [], 'influenced by': []}
32996364	{'title': 'agda (theorem prover)', 'year': 0, 'paradigm(s)': [], 'typing': [], 'influenced': [], 'influenced by': []}
50687330	{'title': 'agilent vee', 'year': 0, 'paradigm(s)': [], 'typing': [], 'influenced': [], 'influenced by': []}
933477	{'title': 'agora (programming language)', 'year': 0, 'paradigm(s)': [], 'typing': [], 'influenced': [], 'influenced by': []}
31460418	{'title': 'aimms', 'year': 0, 'paradigm(s)': [], 'typing': [], 'influenced': [], 'influenced by': []}
948551	{'title': 'aldor', 'year': '1990', 'paradigm(s)': ['Multi-paradigm', 'object-oriented', 'functional', 'imperative', 'dependent typed', 'logic'], 'typing': [], 'influenced': [], 'influenced by': [2994338, 23773, 27404990]}
1935217	{'title': 'alef', 'year': '1992', 'paradigm(s)': ['compiled', 'concurrent', 'structured'], 'typing': ['static', 'strong'], 'influenced': [236298, 29414838, 25039021], 'influenced by': [6021, 25051106]}
11868019	{'title': 'alf', 'year': 0, 'paradigm(s)': ['multi-paradigm', 'logic', 'functional'], 'typing': [], 'influenced': [], 'influenced by': []}
944870	{'title': 'algol 58', 'year': '1958', 'paradigm(s)': ['procedural', 'imperative', 'structured'], 'typing': [], 'influenced': [15986053], 'influenced by': [10942, 65944]}
692878	{'title': 'algol 60', 'year': '1960', 'paradigm(s)': ['procedural', 'imperative', 'structured'], 'typing': [], 'influenced': [29513, 31613960, 23773, 1242, 6021], 'influenced by': [944870]}
692880	{'title': 'algol 68', 'year': 'Final Report: 1968', 'paradigm(s)': ['multi-paradigm', 'concurrent', 'imperative'], 'typing': ['static', 'strong', 'safe', 'structural'], 'influenced': [6021, 72038, 92839, 17213, 4547, 29047, 25417347, 23862, 36346048, 20340, 11484588], 'influenced by': [692878, 949010]}
211058	{'title': 'algol w', 'year': '1966', 'paradigm(s)': [], 'typing': [], 'influenced': [23773, 24102707], 'influenced by': [692878]}
30877972	{'title': 'alice', 'year': '2000', 'paradigm(s)': ['Multi-paradigm', 'imperative', 'functional', 'distributed', 'concurrent'], 'typing': ['strong', 'static', 'inferred'], 'influenced': [], 'influenced by': [20607, 256916]}
933674	{'title': 'alma-0', 'year': 0, 'paradigm(s)': ['multi-paradigm', 'constraint', 'imperative', 'logic'], 'typing': ['static'], 'influenced': [], 'influenced by': []}
12036551	{'title': 'ambienttalk', 'year': '2006', 'paradigm(s)': ['object-oriented', 'prototype-based', 'Concurrent', 'Event-driven', 'Reflective'], 'typing': ['dynamic', 'strong'], 'influenced': [26574070], 'influenced by': [28319, 60265, 28119, 1377046, 11044709]}
114313	{'title': 'amiga e', 'year': 0, 'paradigm(s)': [], 'typing': [], 'influenced': [], 'influenced by': []}
2957	{'title': 'amos', 'year': '1990', 'paradigm(s)': ['Imperative', 'Procedural'], 'typing': [], 'influenced': [], 'influenced by': [1366035]}
1076270	{'title': 'ampl', 'year': '1985', 'paradigm(s)': ['Multi-paradigm', 'declarative', 'imperative'], 'typing': [], 'influenced': [40889417], 'influenced by': [1456, 6021]}
39538319	{'title': 'angelscript', 'year': '2003', 'paradigm(s)': ['Multi-paradigm', 'scripting', 'imperative', 'procedural', 'object-oriented'], 'typing': ['static', 'strong'], 'influenced': [], 'influenced by': [72038]}
49183653	{'title': 'apex (programming language)', 'year': 0, 'paradigm(s)': [], 'typing': [], 'influenced': [], 'influenced by': []}
1451	{'title': 'apl', 'year': 'November\xa027, 1966', 'paradigm(s)': ['Array', 'functional', 'structured', 'modular'], 'typing': ['dynamic'], 'influenced': [890931, 899253, 73227, 890956, 18305664, 20412, 21571, 5005125, 919313, 24641580, 40205956], 'influenced by': [277184]}
43500036	{'title': 'app inventor for android (programming language)', 'year': 0, 'paradigm(s)': [], 'typing': [], 'influenced': [], 'influenced by': []}
88392	{'title': 'applescript', 'year': '1993', 'paradigm(s)': ['Natural language programming', 'Scripting'], 'typing': ['weak', 'dynamic'], 'influenced': [], 'influenced by': [56284859, 78136]}
3673047	{'title': 'apt (programming language)', 'year': 0, 'paradigm(s)': [], 'typing': [], 'influenced': [], 'influenced by': []}
188190	{'title': 'arc', 'year': '29\xa0January 2008', 'paradigm(s)': [], 'typing': ['dynamic'], 'influenced': [], 'influenced by': [18016, 28119]}
1858505	{'title': 'arexx', 'year': 0, 'paradigm(s)': [], 'typing': [], 'influenced': [], 'influenced by': []}
27580389	{'title': 'argus (programming language)', 'year': 0, 'paradigm(s)': [], 'typing': [], 'influenced': [], 'influenced by': []}
1368	{'title': 'assembly language', 'year': '1949', 'paradigm(s)': ['Imperative', 'unstructured'], 'typing': [], 'influenced': [], 'influenced by': []}
1485612	{'title': 'autohotkey', 'year': 0, 'paradigm(s)': [], 'typing': [], 'influenced': [], 'influenced by': []}
51458	{'title': 'autolisp', 'year': 'January\xa01986', 'paradigm(s)': [], 'typing': [], 'influenced': [], 'influenced by': [18016]}
2211949	{'title': 'averest', 'year': 0, 'paradigm(s)': [], 'typing': [], 'influenced': [], 'influenced by': []}
1456	{'title': 'awk', 'year': '1977', 'paradigm(s)': ['Scripting', 'procedural', 'data-driven', '[1]'], 'typing': [], 'influenced': [39880682, 1076270, 23939, 95823, 46150], 'influenced by': [6021, 29515, 92839]}
22433033	{'title': 'axum', 'year': 'May 8, 2009', 'paradigm(s)': [], 'typing': [], 'influenced': [], 'influenced by': []}
2883	{'title': 'active server pages (asp)', 'year': 0, 'paradigm(s)': [], 'typing': [], 'influenced': [], 'influenced by': []}
4475	{'title': 'b', 'year': '1969', 'paradigm(s)': [], 'typing': ['word'], 'influenced': [6021], 'influenced by': [4052, 23708]}
22848897	{'title': 'babbage', 'year': 'around 1971', 'paradigm(s)': ['procedural', 'structured', 'High-level assembler'], 'typing': [], 'influenced': [], 'influenced by': [4052]}
57629994	{'title': 'ballerina', 'year': '2017', 'paradigm(s)': [], 'typing': ['structural', 'strong', 'static', 'inferred'], 'influenced': [], 'influenced by': [15881, 12572874, 25039021, 29414838, 2356196]}
4547	{'title': 'bash', 'year': 0, 'paradigm(s)': [], 'typing': [], 'influenced': [], 'influenced by': []}
4015	{'title': 'basic', 'year': 'May\xa01, 1964', 'paradigm(s)': ['Non-structured', 'procedural', 'object-oriented'], 'typing': [], 'influenced': [197700, 6097382, 208996, 144766, 2281448, 1485612], 'influenced by': [692878, 11168, 140643]}
