60614939	1c:enterprise programming language	0	[]	[]
2994340	a#	2004	[]	[]
60383	a-0 system	0	[]	[]
890931	a+	1988	['Array']	['dynamic', 'strong']
425819	a++	0	[]	[]
271832	abap/4	1983	['Object-oriented', 'structured', 'imperative']	['static', 'strong', 'safe', 'nominative']
147585	abc	0	['multi-paradigm', 'imperative', 'procedural', 'structured']	['strong', 'polymorphic']
60450	abc algol	0	[]	[]
928669	acc	0	[]	[]
85065	accent	0	[]	[]
9216093	distributed application specification language	0	[]	[]
1273369	action!	0	[]	[]
519691	actionscript	1998	['Multi-paradigm', 'object-oriented', 'prototype-based', 'functional', 'imperative', 'scripting']	['strong', 'static']
26849115	actor	0	[]	[]
1242	ada	1980	['Multi-paradigm']	['static', 'strong', 'safe', 'nominative']
11517646	adenine	0	[]	[]
32996364	agda (theorem prover)	0	[]	[]
50687330	agilent vee	0	[]	[]
933477	agora	0	[]	[]
31460418	aimms	0	[]	[]
948551	aldor	1990	['Multi-paradigm', 'object-oriented', 'functional', 'imperative', 'dependent typed', 'logic']	[]
1935217	alef	1992	['compiled', 'concurrent', 'structured']	['static', 'strong']
11868019	alf	0	['multi-paradigm', 'logic', 'functional']	[]
944870	algol 58	1958	['procedural', 'imperative', 'structured']	[]
692878	algol 60	1960	['procedural', 'imperative', 'structured']	[]
692880	algol 68	1968	['multi-paradigm', 'concurrent', 'imperative']	['static', 'strong', 'safe', 'structural']
211058	algol w	1966	[]	[]
30877972	alice	2000	['Multi-paradigm', 'imperative', 'functional', 'distributed', 'concurrent']	['strong', 'static', 'inferred']
933674	alma-0	0	['multi-paradigm', 'constraint', 'imperative', 'logic']	['static']
12036551	ambienttalk	2006	['object-oriented', 'prototype-based', 'Concurrent', 'Event-driven', 'Reflective']	['dynamic', 'strong']
114313	amiga e	0	[]	[]
2957	amos	1990	['Imperative', 'Procedural']	[]
1076270	ampl	1985	['Multi-paradigm', 'declarative', 'imperative']	[]
39538319	angelscript	2003	['Multi-paradigm', 'scripting', 'imperative', 'procedural', 'object-oriented']	['static', 'strong']
49183653	apex	0	[]	[]
1451	apl	1966	['Array', 'functional', 'structured', 'modular']	['dynamic']
43500036	app inventor for android	0	[]	[]
88392	applescript	1993	['Natural language programming', 'Scripting']	['weak', 'dynamic']
3673047	apt	0	[]	[]
188190	arc	2008	[]	['dynamic']
1858505	arexx	0	[]	[]
27580389	argus	0	[]	[]
1368	assembly language	1949	['Imperative', 'unstructured']	[]
1485612	autohotkey	0	[]	[]
51458	autolisp	1986	[]	[]
2211949	averest	0	[]	[]
1456	awk	1977	['Scripting', 'procedural', 'data-driven', '[1]']	[]
22433033	axum	2009	[]	[]
2883	active server pages (asp)	0	[]	[]
4475	b	1969	[]	['word']
22848897	babbage	1971	['procedural', 'structured', 'High-level assembler']	[]
57629994	ballerina	2017	[]	['structural', 'strong', 'static', 'inferred']
4547	bash	0	[]	[]
4015	basic	1964	['Non-structured', 'procedural', 'object-oriented']	[]
646359	bc	0	[]	[]
4052	bcpl	1967	['procedural', 'imperative', 'structured']	['word']
1565435	beanshell	1999	['Object-oriented', 'scripting']	['dynamic', 'strong']
15264030	batch file	0	[]	[]
21119400	bertrand	0	[]	[]
135868	beta	0	['Object-oriented']	[]
24740516	bliss	0	[]	[]
44494473	blockly	0	[]	[]
436718	bloop and floop	0	[]	[]
1147624	boo	2003	['Object oriented']	['static', 'strong', 'inferred', 'duck']
21008097	boomerang	2008	[]	[]
92839	bourne shell	0	[]	[]
6021	c	1972	['Imperative', 'procedural', 'structured']	['static', 'weak', 'manifest', 'nominal']
1422467	c--	1997	['imperative']	['static', 'weak']
72038	c++	1985	[]	['static', 'nominative', 'partially inferred']
